gmap_id,name,address,estado,ciudad,latitude,longitude,avg_rating,recommendations,rec_name,rec_address,rec_estado,rec_ciudad,rec_latitude,rec_longitude,rec_avg_rating
0x89c6c78aa11becdd:0x3c7119d2a36d0ede,Koukouzeli,"Koukouzeli, 1134 S 9th St, Philadelphia, PA 19147",PA,Philadelphia,39.9354892,-75.1587634,4.8,0x89c6c78aa11becdd:0x3c7119d2a36d0ede,Koukouzeli,"Koukouzeli, 1134 S 9th St, Philadelphia, PA 19147",PA,Philadelphia,39.9354892,-75.1587634,4.8
0x89c6c8ac064b10e7:0xd549f00be2d4d5f0,City Pizza,"City Pizza, 100 Snyder Ave, Philadelphia, PA 19148",PA,Philadelphia,39.9215082,-75.1485218,4.0,0x89c6c8ac064b10e7:0xd549f00be2d4d5f0,City Pizza,"City Pizza, 100 Snyder Ave, Philadelphia, PA 19148",PA,Philadelphia,39.9215082,-75.1485218,4.0
0x89c6b7523e087d35:0x584ef6868f8ab44,Chevy's Pizza,"Chevy's Pizza, 7101 Rising Sun Ave, Philadelphia, PA 19111",PA,Philadelphia,40.0582111,-75.0868253,4.8,0x89c6b7523e087d35:0x584ef6868f8ab44,Chevy's Pizza,"Chevy's Pizza, 7101 Rising Sun Ave, Philadelphia, PA 19111",PA,Philadelphia,40.0582111,-75.0868253,4.8
0x89c6c5fcee1ba393:0xe41ffadf99506a99,Mack's Boardwalk Pizza,"Mack's Boardwalk Pizza, 1112 S 9th St, Philadelphia, PA 19147",PA,Philadelphia,39.935916,-75.158677,4.1,0x89c6c5fcee1ba393:0xe41ffadf99506a99,Mack's Boardwalk Pizza,"Mack's Boardwalk Pizza, 1112 S 9th St, Philadelphia, PA 19147",PA,Philadelphia,39.935916,-75.158677,4.1
0x89c6b3c11dfae0d1:0x2eac761df1905a3a,Slack's Hoagie Shack Grant Avenue,"Slack's Hoagie Shack Grant Avenue, 1619 Grant Ave # 14, Philadelphia, PA 19115",PA,Philadelphia,40.087845,-75.039363,3.8,0x89c6b3c11dfae0d1:0x2eac761df1905a3a,Slack's Hoagie Shack Grant Avenue,"Slack's Hoagie Shack Grant Avenue, 1619 Grant Ave # 14, Philadelphia, PA 19115",PA,Philadelphia,40.087845,-75.039363,3.8
0x89c6b97a41209027:0x5fedaeac286ef00f,TradeWinds B.Y.O.B.,"TradeWinds B.Y.O.B., 8630 Germantown Ave, Philadelphia, PA 19118",PA,Philadelphia,40.0770647,-75.20870889999999,4.6,0x89c6b97a41209027:0x5fedaeac286ef00f,TradeWinds B.Y.O.B.,"TradeWinds B.Y.O.B., 8630 Germantown Ave, Philadelphia, PA 19118",PA,Philadelphia,40.0770647,-75.20870889999999,4.6
0x89c6c791b7ddfa8b:0x57ba9e042bf9a280,Sang Kee Noodle House,"Sang Kee Noodle House, 3549 Chestnut St, Philadelphia, PA 19104",PA,Philadelphia,39.9547038,-75.19375699999999,4.0,0x89c6c791b7ddfa8b:0x57ba9e042bf9a280,Sang Kee Noodle House,"Sang Kee Noodle House, 3549 Chestnut St, Philadelphia, PA 19104",PA,Philadelphia,39.9547038,-75.19375699999999,4.0
0x89c6c975091ead4b:0x7c076e0d727c5f3c,Musi BYOB,"Musi BYOB, 100 Morris St, Philadelphia, PA 19148",PA,Philadelphia,39.926348,-75.1474053,4.9,0x89c6c975091ead4b:0x7c076e0d727c5f3c,Musi BYOB,"Musi BYOB, 100 Morris St, Philadelphia, PA 19148",PA,Philadelphia,39.926348,-75.1474053,4.9
0x89c6b7c0ba28cde3:0xbefede470eb448cb,"Delicias Dominicana Philadelphia, The Best Seasoning (Food Truck)","Delicias Dominicana Philadelphia, The Best Seasoning (Food Truck), 4180-4190 N Front St, Philadelphia, PA 19140",PA,Philadelphia,40.0135879,-75.12602989999999,4.2,0x89c6b7c0ba28cde3:0xbefede470eb448cb,"Delicias Dominicana Philadelphia, The Best Seasoning (Food Truck)","Delicias Dominicana Philadelphia, The Best Seasoning (Food Truck), 4180-4190 N Front St, Philadelphia, PA 19140",PA,Philadelphia,40.0135879,-75.12602989999999,4.2
0x406ff04796c5b853:0x1dca12f1604140,2 In One Breakfast & Lunch,"2 In One Breakfast & Lunch, 5045 Wissahickon Ave, Philadelphia, PA 19144",PA,Philadelphia,40.0196544,-75.17435859999999,4.0,0x406ff04796c5b853:0x1dca12f1604140,2 In One Breakfast & Lunch,"2 In One Breakfast & Lunch, 5045 Wissahickon Ave, Philadelphia, PA 19144",PA,Philadelphia,40.0196544,-75.17435859999999,4.0
0x89c6b7021fbf7245:0xfd2bfc652e23d30,BOOM BUNS,"BOOM BUNS, 6649 Castor Ave, Philadelphia, PA 19149",PA,Philadelphia,40.0428555,-75.0737309,4.8,0x89c6b7021fbf7245:0xfd2bfc652e23d30,BOOM BUNS,"BOOM BUNS, 6649 Castor Ave, Philadelphia, PA 19149",PA,Philadelphia,40.0428555,-75.0737309,4.8
0x89c6b8f2b4d74ed7:0xc8be2314e3bafcfc,The Ugly Moose,"The Ugly Moose, 443 Shurs Ln, Philadelphia, PA 19128",PA,Philadelphia,40.0253095,-75.2113991,4.4,0x89c6b8f2b4d74ed7:0xc8be2314e3bafcfc,The Ugly Moose,"The Ugly Moose, 443 Shurs Ln, Philadelphia, PA 19128",PA,Philadelphia,40.0253095,-75.2113991,4.4
0x89c6b4345b53496f:0xb73863b8e97214ce,De Nofa's Homemade Sausage,"De Nofa's Homemade Sausage, 6946 Torresdale Ave, Philadelphia, PA 19135",PA,Philadelphia,40.0268735,-75.04187809999999,4.6,0x89c6b4345b53496f:0xb73863b8e97214ce,De Nofa's Homemade Sausage,"De Nofa's Homemade Sausage, 6946 Torresdale Ave, Philadelphia, PA 19135",PA,Philadelphia,40.0268735,-75.04187809999999,4.6
0x89c6b9c8dfcfd5a5:0x310f31345eac4da0,Manayunk Pizza,"Manayunk Pizza, 4222 Manayunk Ave, Philadelphia, PA 19128",PA,Philadelphia,40.0268363,-75.21633,4.2,0x89c6b9c8dfcfd5a5:0x310f31345eac4da0,Manayunk Pizza,"Manayunk Pizza, 4222 Manayunk Ave, Philadelphia, PA 19128",PA,Philadelphia,40.0268363,-75.21633,4.2
0x89c6c74b91c4a47f:0xe1d8abc83b5bb10f,Tropical sensation,"Tropical sensation, 1441 Snyder Ave, Philadelphia, PA 19145",PA,Philadelphia,39.9247438,-75.171114,4.5,0x89c6c74b91c4a47f:0xe1d8abc83b5bb10f,Tropical sensation,"Tropical sensation, 1441 Snyder Ave, Philadelphia, PA 19145",PA,Philadelphia,39.9247438,-75.171114,4.5
0x89c6b9c7c9fe6a33:0xbd9ddddd88aae695,Pizzeria L’Angolo,"Pizzeria L’Angolo, 4105 Main St, Philadelphia, PA 19127",PA,Philadelphia,40.0224642,-75.2183174,4.7,0x89c6b9c7c9fe6a33:0xbd9ddddd88aae695,Pizzeria L’Angolo,"Pizzeria L’Angolo, 4105 Main St, Philadelphia, PA 19127",PA,Philadelphia,40.0224642,-75.2183174,4.7
0x89c6cf55107c2593:0x5c6e9940bb3aadc4,King Food,"King Food, 2554 S American St, Philadelphia, PA 19148",PA,Philadelphia,39.9158744,-75.1524261,4.1,0x89c6cf55107c2593:0x5c6e9940bb3aadc4,King Food,"King Food, 2554 S American St, Philadelphia, PA 19148",PA,Philadelphia,39.9158744,-75.1524261,4.1
0x89c6c7f40d65e573:0x1393102f5803ac3c,Chung King Restaurant,"Chung King Restaurant, 2530 W Lehigh Ave, Philadelphia, PA 19132",PA,Philadelphia,39.996122,-75.173377,3.7,0x89c6c7f40d65e573:0x1393102f5803ac3c,Chung King Restaurant,"Chung King Restaurant, 2530 W Lehigh Ave, Philadelphia, PA 19132",PA,Philadelphia,39.996122,-75.173377,3.7
0x89c6b6a6c6931fab:0xd44987cfdc3e15,Dimension Sports Bar,"Dimension Sports Bar, 7318 Castor Ave, Philadelphia, PA 19152",PA,Philadelphia,40.052734,-75.06510999999999,4.3,0x89c6b6a6c6931fab:0xd44987cfdc3e15,Dimension Sports Bar,"Dimension Sports Bar, 7318 Castor Ave, Philadelphia, PA 19152",PA,Philadelphia,40.052734,-75.06510999999999,4.3
0x89c6c6c5a779d1b7:0xdc7580771c3298a9,Jim's Pizza & Steaks,"Jim's Pizza & Steaks, 5605 Spruce St, Philadelphia, PA 19139",PA,Philadelphia,39.955779,-75.234251,3.7,0x89c6c6c5a779d1b7:0xdc7580771c3298a9,Jim's Pizza & Steaks,"Jim's Pizza & Steaks, 5605 Spruce St, Philadelphia, PA 19139",PA,Philadelphia,39.955779,-75.234251,3.7
0x89c6c89d58452fe1:0x5d9cc1c918b04da5,M Restaurant,"M Restaurant, 231 S 8th St, Philadelphia, PA 19106",PA,Philadelphia,39.9472222,-75.15416669999999,4.3,0x89c6c89d58452fe1:0x5d9cc1c918b04da5,M Restaurant,"M Restaurant, 231 S 8th St, Philadelphia, PA 19106",PA,Philadelphia,39.9472222,-75.15416669999999,4.3
0x89c6c63059df4aef:0xa8acfb5628760b39,SoBol,"SoBol, 46 S 17th St, Philadelphia, PA 19103",PA,Philadelphia,39.951761,-75.16887899999999,4.3,0x89c6c63059df4aef:0xa8acfb5628760b39,SoBol,"SoBol, 46 S 17th St, Philadelphia, PA 19103",PA,Philadelphia,39.951761,-75.16887899999999,4.3
0x89c6c639a4d2160f:0x35fe6218d2bbc645,Cook,"Cook, 253 S 20th St, Philadelphia, PA 19103",PA,Philadelphia,39.9488475,-75.1740657,4.9,0x89c6c639a4d2160f:0x35fe6218d2bbc645,Cook,"Cook, 253 S 20th St, Philadelphia, PA 19103",PA,Philadelphia,39.9488475,-75.1740657,4.9
0x89c6c89ef12bc14f:0x963e6b4c0c326c3f,Whetstone Tavern,"Whetstone Tavern, 700 S 5th St, Philadelphia, PA 19147",PA,Philadelphia,39.94085,-75.1510278,4.3,0x89c6c89ef12bc14f:0x963e6b4c0c326c3f,Whetstone Tavern,"Whetstone Tavern, 700 S 5th St, Philadelphia, PA 19147",PA,Philadelphia,39.94085,-75.1510278,4.3
0x89c6c75462a7383f:0xe1ff2142f7c2f548,Trolley Car Station Restaurant,"Trolley Car Station Restaurant, 3940 Baltimore Ave, Philadelphia, PA 19104",PA,Philadelphia,39.9496602,-75.2026672,3.2,0x89c6c75462a7383f:0xe1ff2142f7c2f548,Trolley Car Station Restaurant,"Trolley Car Station Restaurant, 3940 Baltimore Ave, Philadelphia, PA 19104",PA,Philadelphia,39.9496602,-75.2026672,3.2
0x89c6b315a186b57f:0xee5fc34c4276042d,Dunkin',"Dunkin', 3200 Red Lion Rd, Philadelphia, PA 19114",PA,Philadelphia,40.0812241,-74.99492149999999,4.1,0x89c6b315a186b57f:0xee5fc34c4276042d,Dunkin',"Dunkin', 3200 Red Lion Rd, Philadelphia, PA 19114",PA,Philadelphia,40.0812241,-74.99492149999999,4.1
0x89c6b354499e052b:0xe55bfde792f2cca8,Momma Mia’s Pizzeria,"Momma Mia’s Pizzeria, 15002 Endicott St, Philadelphia, PA 19116",PA,Philadelphia,40.1201954,-74.9951881,4.5,0x89c6b354499e052b:0xe55bfde792f2cca8,Momma Mia’s Pizzeria,"Momma Mia’s Pizzeria, 15002 Endicott St, Philadelphia, PA 19116",PA,Philadelphia,40.1201954,-74.9951881,4.5
0x89c6b67f226dba95:0x16c90c2d5b314ac,Daly's Irish Pub,"Daly's Irish Pub, 4201 Comly St, Philadelphia, PA 19135",PA,Philadelphia,40.0226135,-75.0634537,4.3,0x89c6b67f226dba95:0x16c90c2d5b314ac,Daly's Irish Pub,"Daly's Irish Pub, 4201 Comly St, Philadelphia, PA 19135",PA,Philadelphia,40.0226135,-75.0634537,4.3
0x89c6c8a27052c011:0x227c5627d96a4e11,No. 1 China,"No. 1 China, 843 S 2nd St, Philadelphia, PA 19147",PA,Philadelphia,39.9363496,-75.14649299999999,3.5,0x89c6c8a27052c011:0x227c5627d96a4e11,No. 1 China,"No. 1 China, 843 S 2nd St, Philadelphia, PA 19147",PA,Philadelphia,39.9363496,-75.14649299999999,3.5
0x89c6b77b2d1e78cb:0x835d6399195b3f8f,Soul of Africa Restaurant,"Soul of Africa Restaurant, 6422 Rising Sun Ave, Philadelphia, PA 19111",PA,Philadelphia,40.050405,-75.095128,3.8,0x89c6b77b2d1e78cb:0x835d6399195b3f8f,Soul of Africa Restaurant,"Soul of Africa Restaurant, 6422 Rising Sun Ave, Philadelphia, PA 19111",PA,Philadelphia,40.050405,-75.095128,3.8
0x89c6b6c290a6a4f5:0xdb6bd3a1eede36a9,SALERNO'S Ristorante & Pizzeria,"SALERNO'S Ristorante & Pizzeria, 6500 Rising Sun Ave, Philadelphia, PA 19111",PA,Philadelphia,40.051257,-75.094259,4.5,0x89c6b6c290a6a4f5:0xdb6bd3a1eede36a9,SALERNO'S Ristorante & Pizzeria,"SALERNO'S Ristorante & Pizzeria, 6500 Rising Sun Ave, Philadelphia, PA 19111",PA,Philadelphia,40.051257,-75.094259,4.5
0x89c6c827ea8541e5:0x2aea0a816a281ad,Tracy Chinese Restaurant,"Tracy Chinese Restaurant, 2864 Kensington Ave, Philadelphia, PA 19134",PA,Philadelphia,39.9926445,-75.1207785,4.3,0x89c6c827ea8541e5:0x2aea0a816a281ad,Tracy Chinese Restaurant,"Tracy Chinese Restaurant, 2864 Kensington Ave, Philadelphia, PA 19134",PA,Philadelphia,39.9926445,-75.1207785,4.3
0x89c6c6241f3c7b9f:0x930caac2a2cf27de,Ristorante Aroma,"Ristorante Aroma, 1120 Pine St, Philadelphia, PA 19107",PA,Philadelphia,39.9448762,-75.1607628,4.7,0x89c6c6241f3c7b9f:0x930caac2a2cf27de,Ristorante Aroma,"Ristorante Aroma, 1120 Pine St, Philadelphia, PA 19107",PA,Philadelphia,39.9448762,-75.1607628,4.7
0x89c6c7830aa54b0b:0x820f86fcedbb8b90,Sunrise Breakfast Lunch and authentic thai food,"Sunrise Breakfast Lunch and authentic thai food, 2048 South 18th Street, 1801 south Snyder Ave, Philadelphia, PA 19145",PA,Philadelphia,39.9253162,-75.17618879999999,4.8,0x89c6c7830aa54b0b:0x820f86fcedbb8b90,Sunrise Breakfast Lunch and authentic thai food,"Sunrise Breakfast Lunch and authentic thai food, 2048 South 18th Street, 1801 south Snyder Ave, Philadelphia, PA 19145",PA,Philadelphia,39.9253162,-75.17618879999999,4.8
0x89c6c60b9cd117cd:0x3e88efaf5757287d,17 Snyder Chinese Food and Cold Beer,"17 Snyder Chinese Food and Cold Beer, 2100 S 17th St, Philadelphia, PA 19145",PA,Philadelphia,39.924903,-75.174741,4.0,0x89c6c60b9cd117cd:0x3e88efaf5757287d,17 Snyder Chinese Food and Cold Beer,"17 Snyder Chinese Food and Cold Beer, 2100 S 17th St, Philadelphia, PA 19145",PA,Philadelphia,39.924903,-75.174741,4.0
0x89c6b75e114352ef:0x1969b9099295dc7b,The Breakfast Boutique,"The Breakfast Boutique, 6830 Ogontz Ave, Philadelphia, PA 19138",PA,Philadelphia,40.0586693,-75.14974959999999,4.1,0x89c6b75e114352ef:0x1969b9099295dc7b,The Breakfast Boutique,"The Breakfast Boutique, 6830 Ogontz Ave, Philadelphia, PA 19138",PA,Philadelphia,40.0586693,-75.14974959999999,4.1
0x89c6c64f4d997c01:0x4899f94f8f082b99,Old Nelson Food Company,"Old Nelson Food Company, 129 S 30th St, Philadelphia, PA 19104",PA,Philadelphia,39.9524609,-75.1837263,4.1,0x89c6c64f4d997c01:0x4899f94f8f082b99,Old Nelson Food Company,"Old Nelson Food Company, 129 S 30th St, Philadelphia, PA 19104",PA,Philadelphia,39.9524609,-75.1837263,4.1
0x89c6b7f9c192b279:0xf7341ec47ed7370e,Pho Don,"Pho Don, 3528 Germantown Ave, Philadelphia, PA 19140",PA,Philadelphia,40.0067442,-75.1502521,4.7,0x89c6b7f9c192b279:0xf7341ec47ed7370e,Pho Don,"Pho Don, 3528 Germantown Ave, Philadelphia, PA 19140",PA,Philadelphia,40.0067442,-75.1502521,4.7
0x89c6c61ee1142f6b:0xaa02f56829607766,Fiesta Acapulco,"Fiesta Acapulco, 1122 S 9th St, Philadelphia, PA 19147",PA,Philadelphia,39.9357545,-75.1587136,4.2,0x89c6c61ee1142f6b:0xaa02f56829607766,Fiesta Acapulco,"Fiesta Acapulco, 1122 S 9th St, Philadelphia, PA 19147",PA,Philadelphia,39.9357545,-75.1587136,4.2
0x89c6c62a7cb48fa9:0x9cea78b98d3f2e76,Jinwei,"Jinwei, 925 Race St, Philadelphia, PA 19107",PA,Philadelphia,39.955406,-75.1552584,4.4,0x89c6c62a7cb48fa9:0x9cea78b98d3f2e76,Jinwei,"Jinwei, 925 Race St, Philadelphia, PA 19107",PA,Philadelphia,39.955406,-75.1552584,4.4
0x89c6c7efe7facb0d:0x4a421a9b9cf0847,B&M Grocery,"B&M Grocery, 2264 N 21st St, Philadelphia, PA 19132",PA,Philadelphia,39.9892899,-75.167577,4.2,0x89c6c7efe7facb0d:0x4a421a9b9cf0847,B&M Grocery,"B&M Grocery, 2264 N 21st St, Philadelphia, PA 19132",PA,Philadelphia,39.9892899,-75.167577,4.2
0x89c6b6ff89bbc7d5:0x85aa90c30b743a04,Jade Palace,"Jade Palace, 736 Adams Ave, Philadelphia, PA 19124",PA,Philadelphia,40.0317893,-75.1070257,3.4,0x89c6b6ff89bbc7d5:0x85aa90c30b743a04,Jade Palace,"Jade Palace, 736 Adams Ave, Philadelphia, PA 19124",PA,Philadelphia,40.0317893,-75.1070257,3.4
0x89c6c7971754173b:0x26d7932460af4f36,Nom Nom Bowl,"Nom Nom Bowl, 3701 Chestnut St, Philadelphia, PA 19130",PA,Philadelphia,39.9552474,-75.1969099,4.3,0x89c6c7971754173b:0x26d7932460af4f36,Nom Nom Bowl,"Nom Nom Bowl, 3701 Chestnut St, Philadelphia, PA 19130",PA,Philadelphia,39.9552474,-75.1969099,4.3
0x89c6c96ae08da6c5:0x7236a4848bc74624,Chops Cheesesteaks,"Chops Cheesesteaks, 602 South St, Philadelphia, PA 19147",PA,Philadelphia,39.9419063,-75.15252009999999,4.5,0x89c6c96ae08da6c5:0x7236a4848bc74624,Chops Cheesesteaks,"Chops Cheesesteaks, 602 South St, Philadelphia, PA 19147",PA,Philadelphia,39.9419063,-75.15252009999999,4.5
0x89c6b7083987c6cd:0x98d46d909834a58f,Everyday Good House,"Everyday Good House, 5501 N Front St, Philadelphia, PA 19120",PA,Philadelphia,40.0348033,-75.1214392,3.7,0x89c6b7083987c6cd:0x98d46d909834a58f,Everyday Good House,"Everyday Good House, 5501 N Front St, Philadelphia, PA 19120",PA,Philadelphia,40.0348033,-75.1214392,3.7
0x89c6b65ff8dad15b:0x762ba0832a8e5e20,Old English Pizza,"Old English Pizza, 5421 Oxford Ave, Philadelphia, PA 19124",PA,Philadelphia,40.0307391,-75.0846418,4.1,0x89c6b65ff8dad15b:0x762ba0832a8e5e20,Old English Pizza,"Old English Pizza, 5421 Oxford Ave, Philadelphia, PA 19124",PA,Philadelphia,40.0307391,-75.0846418,4.1
0x89c6b6284a829ba5:0xb1dacca9d111ce54,Pizza Hut,"Pizza Hut, 3451 Aramingo Ave, Philadelphia, PA 19134",PA,Philadelphia,39.9914699,-75.09973339999999,3.7,0x89c6b6284a829ba5:0xb1dacca9d111ce54,Pizza Hut,"Pizza Hut, 3451 Aramingo Ave, Philadelphia, PA 19134",PA,Philadelphia,39.9914699,-75.09973339999999,3.7
0x89c6b8464bd78a1d:0x7e5e79cd8d80e7be,Pizza Hut,"Pizza Hut, 301 W E Chelten Ave, Philadelphia, PA 19144",PA,Philadelphia,40.0304008,-75.1808154,2.5,0x89c6b8464bd78a1d:0x7e5e79cd8d80e7be,Pizza Hut,"Pizza Hut, 301 W E Chelten Ave, Philadelphia, PA 19144",PA,Philadelphia,40.0304008,-75.1808154,2.5
0x89c6c828066affff:0xa6856cae13c75847,Tk Homestyle Cooking,"Tk Homestyle Cooking, 2927 Kensington Ave, Philadelphia, PA 19134",PA,Philadelphia,39.9930909,-75.1192257,4.1,0x89c6c828066affff:0xa6856cae13c75847,Tk Homestyle Cooking,"Tk Homestyle Cooking, 2927 Kensington Ave, Philadelphia, PA 19134",PA,Philadelphia,39.9930909,-75.1192257,4.1
0x89c6c926fd3c7c87:0x82e58e8d90190229,Sophie's Kitchen,"Sophie's Kitchen, 522 Washington Ave, Philadelphia, PA 19147",PA,Philadelphia,39.934744,-75.153257,4.8,0x89c6c926fd3c7c87:0x82e58e8d90190229,Sophie's Kitchen,"Sophie's Kitchen, 522 Washington Ave, Philadelphia, PA 19147",PA,Philadelphia,39.934744,-75.153257,4.8
0x89c6b99cd11ca337:0xc56329f28bb7c9ed,Biryani Bowl Indian Cuisine,"Biryani Bowl Indian Cuisine, 219 E Willow Grove Ave, Philadelphia, PA 19118",PA,Philadelphia,40.0734891,-75.19833129999999,3.9,0x89c6b99cd11ca337:0xc56329f28bb7c9ed,Biryani Bowl Indian Cuisine,"Biryani Bowl Indian Cuisine, 219 E Willow Grove Ave, Philadelphia, PA 19118",PA,Philadelphia,40.0734891,-75.19833129999999,3.9
0x89c6c6763cb05d55:0x2cd38179ff4ea678,Dunkin,"Dunkin, 2308 W Passyunk Ave, Philadelphia, PA 19145",PA,Philadelphia,39.9223289,-75.1859328,4.2,0x89c6c6763cb05d55:0x2cd38179ff4ea678,Dunkin,"Dunkin, 2308 W Passyunk Ave, Philadelphia, PA 19145",PA,Philadelphia,39.9223289,-75.1859328,4.2
