name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,state,url,city,id_sitio
Urbane Cafe,"Urbane Cafe, 5625 California Ave Suite 100, Bakersfield, CA 93309",0x80ea4100c121a7db:0x4584661025ce0f6d,,35.355996999999995,-119.0606616,"['New American restaurant', 'Salad shop', 'Sandwich shop']",4.3,38,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea4100c121a7db:0x4584661025ce0f6d?authuser=-1&hl=en&gl=us,Bakersfield,6
El Jaguar Banquet Hall,"El Jaguar Banquet Hall, 516 California Ave, Bakersfield, CA 93304",0x80ea6a2edc98f199:0x8f34c1f1af1f608a,,35.3687676,-119.0076854,"['Banquet hall', 'Mexican restaurant']",4.1,38,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6a2edc98f199:0x8f34c1f1af1f608a?authuser=-1&hl=en&gl=us,Bakersfield,7
Sabor latino,"Sabor latino, 1530 California Ave, Bakersfield, CA 93301",0x80ea6bdfb633aa6d:0x13ef9d3996c0d3d3,,35.3687757,-119.0198743,['Family restaurant'],4.6,37,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6bdfb633aa6d:0x13ef9d3996c0d3d3?authuser=-1&hl=en&gl=us,Bakersfield,8
Mi Sinaloa Restaurant,"Mi Sinaloa Restaurant, 1906 E California Ave suite b, Bakersfield, CA 93307",0x80ea6be97ec44a73:0x4695b67b3626f09b,,35.36943,-118.972948,['Mexican restaurant'],4.6,34,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6be97ec44a73:0x4695b67b3626f09b?authuser=-1&hl=en&gl=us,Bakersfield,9
El Pollo Riko,"El Pollo Riko, 5620 California Ave, Bakersfield, CA 93309",0x80ea4148d9a1f757:0x2cef70cfeb6f64a8,,35.3558805,-119.0614277,['Restaurant'],4.6,28,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea4148d9a1f757:0x2cef70cfeb6f64a8?authuser=-1&hl=en&gl=us,Bakersfield,10
Pacific Fish Market,"Pacific Fish Market, 505 E California Ave, Bakersfield, CA 93307",0x80ea6bd2b6306639:0xfdd59064abd4dc62,,35.3680351,-118.9990037,['Seafood market'],3.8,28,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6bd2b6306639:0xfdd59064abd4dc62?authuser=-1&hl=en&gl=us,Bakersfield,11
Kings Grill,"93305 California, Bakersfield, Goodman St, Kings Grill",0x80ea6a719a8c3b8d:0xc47084a9aaece55e,,35.3921368,-118.9855237,"['Hamburger restaurant', 'Asian fusion restaurant', 'Fast food restaurant', 'Mexican restaurant']",4.3,13,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6a719a8c3b8d:0xc47084a9aaece55e?authuser=-1&hl=en&gl=us,Bakersfield,12
Tacos El Gordo,"Tacos El Gordo, 201 E California Ave, Bakersfield, CA 93307",0x80ea6a2d04d1536b:0x6a10f3d89e7ee9a9,,35.3681397,-119.0015021,['Restaurant'],3.7,6,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6a2d04d1536b:0x6a10f3d89e7ee9a9?authuser=-1&hl=en&gl=us,Bakersfield,13
Bansho Ramen,"California, Berkeley, Telegraph Ave, Bansho Ramen邮政编码: 94704",0x80857d6683c6b59f:0x4c1386038c5df13f,,37.8649044,-122.2588111,"['Ramen restaurant', 'Restaurant']",4.5,38,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80857d6683c6b59f:0x4c1386038c5df13f?authuser=-1&hl=en&gl=us,Berkeley,1
Rice and Bones,"Rice and Bones, University of California, Berkeley, Rice and Bones Wurster Hall, College Of Environmental Design, Berkeley, CA 94720",0x80857c2559809b87:0xda5eb0ce7e786e36,,37.870735,-122.254894,"['Cafeteria', 'Restaurant']",4.1,25,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80857c2559809b87:0xda5eb0ce7e786e36?authuser=-1&hl=en&gl=us,Berkeley,2
Café Zeb,"Café Zeb, University of California, Berkeley, 2745 Bancroft Way, Berkeley, CA 94701",0x80857c301716ae73:0x7a7764779643d97d,,37.8696574,-122.2527143,['Breakfast restaurant'],4.2,18,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80857c301716ae73:0x7a7764779643d97d?authuser=-1&hl=en&gl=us,Berkeley,3
Boileroom,"California, Berkeley, Telegraph Ave, Boileroom邮政编码: 94704",0x80857d18752ef9d3:0x4b530c9f2f35136d,"Buzzy, bi-level destination for hot pot combos & Chinese sides, plus playful rolled ice cream.",37.8655947,-122.2583212,['Restaurant'],4.1,7,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80857d18752ef9d3:0x4b530c9f2f35136d?authuser=-1&hl=en&gl=us,Berkeley,4
California Roll & Sushi,"California Roll & Sushi, 1787 N Victory Pl, Burbank, CA 91502",0x80c295137b1730f1:0x7ba041355b1d674a,,34.1912135,-118.3293571,['Sushi restaurant'],4.4,129,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c295137b1730f1:0x7ba041355b1d674a?authuser=-1&hl=en&gl=us,Burbank,1
California Fish Grill,"California Fish Grill, 551 N Hollywood Way, Burbank, CA 91505",0x80c2bfacb5ca983d:0x931efc79eed4c286,"Relaxed chain serving fried & charbroiled seafood, plus chicken & fish tacos, beer & wine.",34.1605295,-118.3439194,['Seafood restaurant'],4.7,8,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bfacb5ca983d:0x931efc79eed4c286?authuser=-1&hl=en&gl=us,Burbank,2
Red Robin Gourmet Burgers and Brews,"Red Robin Gourmet Burgers and Brews, 1990 W Florida Ave, Hemet, CA 92545, United States",0x80db65fbf4c05b1d:0x47aa7c46f95de412,Chain for gourmet burgers & other American comfort fare.,33.7477462,-116.9924631,"['Restaurant', 'American restaurant', 'Hamburger restaurant', 'Takeout restaurant']",4.3,1556,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db65fbf4c05b1d:0x47aa7c46f95de412?authuser=-1&hl=en&gl=kr,CA,1
California Fish Grill,"California Fish Grill, 1425 Artesia Blvd Suite 9, Gardena, CA 90248, United States",0x80c2b561761fc3c9:0xc12661c66b4649dc,"Relaxed chain serving fried & charbroiled seafood, plus chicken & fish tacos, beer & wine.",33.8736029,-118.3007937,['Seafood restaurant'],4.5,1548,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b561761fc3c9:0xc12661c66b4649dc?authuser=-1&hl=en&gl=ae,CA,2
Starbucks,"Starbucks, 1269 California Ave, Pittsburg, CA 94565, United States",0x808559632e5c83f9:0x494668d579036d20,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",38.013442,-121.868315,"['Coffee shop', 'Breakfast restaurant', 'Cafe', 'Coffee store', 'Espresso bar', 'Internet cafe']",4.3,548,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808559632e5c83f9:0x494668d579036d20?authuser=-1&hl=en&gl=kr,CA,3
California Fruit Depot,"California Fruit Depot, 10850 Redbank Rd, Bakersfield, CA 93307, United States",0x80ea6d38c6c08ff9:0xff99f6cd1e5fef0,,35.340301,-118.883942,['Fresh food market'],4.7,488,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ea6d38c6c08ff9:0xff99f6cd1e5fef0?authuser=-1&hl=en&gl=ae,CA,4
New York Pizzeria,"New York Pizzeria, 12431 Central Ave, Chino, CA 91710, United States",0x80c3331d9e72d213:0x1cbbf996302ac7eb,Eatery serving thin-crust pizza & Italian fare in a space with video games & sports memorabilia.,34.0275275,-117.689019,"['Restaurant', 'Pizza restaurant']",4.6,438,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c3331d9e72d213:0x1cbbf996302ac7eb?authuser=-1&hl=en&gl=ae,CA,5
Buffet City,"Buffet City, 1778 W Florida Ave, Hemet, CA 92545, United States",0x80db659f3dc9bbe9:0x8c21aba0eac069bd,,33.7478017,-116.9910128,['Restaurant'],3.8,418,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db659f3dc9bbe9:0x8c21aba0eac069bd?authuser=-1&hl=en&gl=kr,CA,6
Samurai Sushi and Grill,"Samurai Sushi and Grill, 2200 W Florida Ave, Hemet, CA 92545, United States",0x80db65fce463390d:0xc7877d4a7809b1a5,,33.74842,-116.9957537,"['Sushi restaurant', 'Japanese restaurant', 'Seafood restaurant']",4.5,388,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db65fce463390d:0xc7877d4a7809b1a5?authuser=-1&hl=en&gl=kr,CA,7
El Ranchito Taco Shop,"El Ranchito Taco Shop, 3148 W Florida Ave, Hemet, CA 92545, United States",0x80db65e108442ecd:0xd6669bd44c357fe7,,33.7484383,-117.0050487,"['Taco restaurant', 'Latin American restaurant', 'Mexican restaurant']",4.3,368,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db65e108442ecd:0xd6669bd44c357fe7?authuser=-1&hl=en&gl=kr,CA,8
Old California Coffee House and Eatery,"Old California Coffee House and Eatery, 1080 W San Marcos Blvd, San Marcos, CA 92078, United States",0x80dc754f4c2838af:0x6cc7b4e233537b7,Cozy coffee shop with free WiFi offers a variety of drinks & light fare including veggie options.,33.134495099999995,-117.1908946,"['Coffee shop', 'Cafe', 'Restaurant']",4.5,344,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dc754f4c2838af:0x6cc7b4e233537b7?authuser=-1&hl=en&gl=kr,CA,9
Prova California Table,"Prova California Table, 17340 Monterey Rd #3642, Morgan Hill, CA 95037",0x808e20f2e87f7f2f:0x8a23a44ee1bfb4de,"Warm, easygoing eatery for locally sourced, Cali-style tapas & Italian fare, plus wine & cocktails.",37.1285846,-121.6525634,"['Tapas restaurant', 'Restaurant', 'Vegetarian restaurant']",4.3,335,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808e20f2e87f7f2f:0x8a23a44ee1bfb4de?authuser=-1&hl=en&gl,CA,10
California Grill Express,"California Grill Express, 353 E Foothill Blvd, Azusa, CA 91702",0x80c327950438ba6f:0x793b1720db7e5677,"Bright & casual American counter serve doling out burgers, sandwiches, salads & pasta, plus beer.",34.1381912,-117.9072113,"['American restaurant', 'Mexican restaurant']",4.4,266,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c327950438ba6f:0x793b1720db7e5677?authuser=-1&hl=en&gl=us,CA,11
Patty’s rotisserie chicken,"Patty’s rotisserie chicken, 1380 E Florida Ave, Hemet, CA 92544, United States",0x80db6f390e037529:0x9eed569b34281826,"Fast-food chain serving Mexican-style rotisserie chicken, slow-cooked in a signature marinade.",33.747977,-116.957915,"['Chicken restaurant', 'Mexican restaurant', 'Restaurant']",4.4,258,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db6f390e037529:0x9eed569b34281826?authuser=-1&hl=en&gl=kr,CA,12
Texas Burger,"Texas Burger, 314 N 2nd St, Patterson, CA 95363",0x8091b3b183d9be29:0x2243004298c43031,,37.476158,-121.132111,['Hamburger restaurant'],4.2,255,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8091b3b183d9be29:0x2243004298c43031?authuser=-1&hl=en&gl=us,CA,13
Pippy's Pizzeria,"Pippy's Pizzeria, 3330 E Florida Ave Suite B, Hemet, CA 92544",0x80db6f2c78c7bb73:0x5a77bc9d55d5a4e2,,33.7483134,-116.9359678,"['Pizza restaurant', 'Chicken wings restaurant']",4.7,228,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db6f2c78c7bb73:0x5a77bc9d55d5a4e2?authuser=-1&hl=en&gl=us,CA,14
Meme's Texas BBQ Smokehouse,"Meme's Texas BBQ Smokehouse, 5372 Whittier Blvd, East Los Angeles, CA 90022",0x80c2cf402a32f3d1:0xfad96d4a1a681dfa,,34.019665,-118.154723,"['Barbecue restaurant', 'American restaurant', 'Sandwich shop']",4.6,205,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2cf402a32f3d1:0xfad96d4a1a681dfa?authuser=-1&hl=en&gl=us,CA,15
California Ranch Market,"California Ranch Market, 27526 CA-74, Sun City, CA 92585",0x80db61d79642b3a3:0x800cdb96edf544c8,,33.7490558,-117.1797928,"['Butcher shop', 'Fruit and vegetable store', 'Juice shop', 'Taco restaurant']",3.9,187,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db61d79642b3a3:0x800cdb96edf544c8?authuser=-1&hl=en&gl=us,CA,16
Uniboil 煮道/ Phresh Teas Co.,"California, Goleta, Hollister Ave, Uniboil 煮道/ Phresh Teas Co.邮政编码: 93117",0x80e9417f2922897b:0x7843a4ed32978272,,34.435421,-119.820377,"['Taiwanese restaurant', 'Asian fusion restaurant', 'Chinese restaurant', 'Diner', 'Hot pot restaurant', 'Tea house']",4.3,175,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80e9417f2922897b:0x7843a4ed32978272?authuser=-1&hl=en&gl=us,CA,17
La Conquista,"La Conquista, 8600 N Loop Blvd Suite A, California City, CA 93505",0x80c22c585107b4c5:0xd8a63db5ba3faf13,,35.1261482,-117.9740829,['Restaurant'],4.3,169,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c22c585107b4c5:0xd8a63db5ba3faf13?authuser=-1&hl=en&gl=us,CA,18
Mariscos el levanton,"Mariscos el levanton, 7651 California Ave, Huntington Park, CA 90255",0x80c2cf41203be5bf:0xdebd94b64911bb5e,,33.9676674,-118.2042203,['Restaurant'],4.4,154,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2cf41203be5bf:0xdebd94b64911bb5e?authuser=-1&hl=en&gl=us,CA,19
Joe's Cafe,"92356 California, Lucerne Valley, Old Woman Springs Rd, Joe's Cafe",0x80c4bc8d31aafc51:0xfcce4630bb3e276f,,34.444189,-116.9478845,['Restaurant'],4.6,145,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c4bc8d31aafc51:0xfcce4630bb3e276f?authuser=-1&hl=en&gl=us,CA,20
369 Ramen & Poke & Sushi,"California, Redondo Beach, Inglewood Ave, 369 Ramen & Poke & Sushi邮政编码: 90278",0x80c2b52f2a26ceaf:0xf008f869f23ca5a5,,33.893248,-118.3621522,['Japanese restaurant'],4.4,114,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b52f2a26ceaf:0xf008f869f23ca5a5?authuser=-1&hl=en&gl=us,CA,21
New York Pizza & Kabob,"New York Pizza & Kabob, 32106 Alvarado Blvd, Union City, CA 94587",0x808f95eeaa93b23d:0xdeccdbed76ce8f5d,,37.5902367,-122.068541,"['Pizza delivery', 'Takeout Restaurant', 'Pizza Takeout']",4.2,113,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f95eeaa93b23d:0xdeccdbed76ce8f5d?authuser=-1&hl=en&gl=us,CA,22
Las Morelianas,"Las Morelianas, 1287 E Florida Ave, Hemet, CA 92543",0x80db6f38fdc04657:0xb8b8fd6050379b29,,33.74687,-116.958806,['Mexican restaurant'],4.4,108,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db6f38fdc04657:0xb8b8fd6050379b29?authuser=-1&hl=en&gl=us,CA,23
Campus Market,"Campus Market, California Polytechnic State University, Food Processing and Market, Via Carta, San Luis Obispo, CA 93405",0x80ecf1b45ea24b87:0xc9136d01427229f7,"Pit stop providing grab-&-go fare & hot entrees such as Asian rice bowls, plus groceries.",35.3032864,-120.6631679,"['Grill', 'Fast food restaurant', 'Market', 'Restaurant', 'Salad shop', 'Sushi takeaway']",3.3,108,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80ecf1b45ea24b87:0xc9136d01427229f7?authuser=-1&hl=en&gl=us,CA,24
Valentinas Restaurant and Cantina,"Valentinas Restaurant and Cantina, 828 W Florida Ave, Hemet, CA 92543",0x80db6f5725bc5b4d:0x6c29821c8420d6b4,,33.7477294,-116.9801988,"['Mexican restaurant', 'Bar', 'Comedy club', 'Event venue', 'Live music venue']",3.4,107,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db6f5725bc5b4d:0x6c29821c8420d6b4?authuser=-1&hl=en&gl=us,CA,25
Hong Kong Express,"California, Duarte, E Huntington Dr, Hong Kong Express邮政编码: 91010",0x80c2d90f669d463d:0xe69ce898471b2931,,34.1388623,-117.9839426,['Fast food restaurant'],4.3,98,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d90f669d463d:0xe69ce898471b2931?authuser=-1&hl=en&gl=us,CA,26
山城辣妹子,"California, San Gabriel, S San Gabriel Blvd, 山城辣妹子邮政编码: 91776",0x80c2db8af48ad8e3:0xd4b41f6feda8d82d,,34.0808181,-118.0903697,['Restaurant'],3.7,98,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2db8af48ad8e3:0xd4b41f6feda8d82d?authuser=-1&hl=en&gl=us,CA,27
Jamba,"Jamba, 2160-C, California Ave, Sand City, CA 93955",0x808de493b1648b31:0x16a726d229aaf48e,"Straightforward counter-serve chain for smoothies, juices & health-focused light bites",36.62234,-121.844086,"['Juice shop', 'Restaurant']",4.2,96,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808de493b1648b31:0x16a726d229aaf48e?authuser=-1&hl=en&gl=us,CA,28
New York Bagel & Sandwiches,"New York Bagel & Sandwiches, 10929 Olson Dr, Rancho Cordova, CA 95670",0x809add6b79503569:0x97b32996b3103d13,,38.5952413,-121.2835271,"['Sandwich shop', 'Bagel shop', 'Breakfast restaurant']",4.4,95,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809add6b79503569:0x97b32996b3103d13?authuser=-1&hl=en&gl=us,CA,29
Frankie & Johnnie's New York Pizza,"Frankie & Johnnie's New York Pizza, 534 Washington Blvd, Marina Del Rey, CA 90292",0x80c2ba977fbc315d:0x3d0c22b7c1cd2b4a,"This petit pizza parlor with limited seating has build-your-own pies plus pasta, salads & paninis.",33.9828773,-118.4599835,"['Pizza restaurant', 'Italian restaurant', 'Takeout Restaurant', 'Pizza delivery', 'Sandwich shop']",2.7,94,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2ba977fbc315d:0x3d0c22b7c1cd2b4a?authuser=-1&hl=en&gl=us,CA,30
Chapter Two California Kitchen,"Chapter Two California Kitchen, 24957 Redlands Blvd, Loma Linda, CA 92354",0x80dcab78ce4bf541:0xdd794bfc786b5e33,,34.0629427,-117.2600299,"['Thai restaurant', 'Asian fusion restaurant']",4.6,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcab78ce4bf541:0xdd794bfc786b5e33?authuser=-1&hl=en&gl=us,CA,31
mian 滋味小面,"California, Rowland Heights, Colima Rd, mian 滋味小面邮政编码: 91748",0x80c32b49d9aa6f19:0xf5699ae275c7a98e,,33.9894217,-117.9031247,['Restaurant'],4.4,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c32b49d9aa6f19:0xf5699ae275c7a98e?authuser=-1&hl=en&gl=us,CA,32
China Wok Express,"California, Whittier, Mirada Blvd10701La China Wok Express",0x80c2d4a3fa65c5dd:0x26747badd3fcb9b1,,33.9360436,-118.012066,['Chinese restaurant'],4.2,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d4a3fa65c5dd:0x26747badd3fcb9b1?authuser=-1&hl=en&gl=us,CA,33
Rocky's New York Pizza,"Rocky's New York Pizza, 757 E Arrow Hwy, Glendora, CA 91740",0x80c328bed1f029d5:0xf10b8d2cbab5f026,,34.1072148,-117.8491612,"['Pizza restaurant', 'Caterer', 'Italian restaurant', 'Takeout Restaurant', 'Sandwich shop']",4.2,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c328bed1f029d5:0xf10b8d2cbab5f026?authuser=-1&hl=en&gl=us,CA,34
El Comal #3,"El Comal #3, 41995 Florida Ave B, Hemet, CA 92544, United States",0x80db6f9dfe31c2db:0x495c420cf87898b4,,33.747452599999995,-116.9287592,['Mexican restaurant'],4.0,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db6f9dfe31c2db:0x495c420cf87898b4?authuser=-1&hl=en&gl=kr,CA,35
Blaze Pizza,"Blaze Pizza, 3260 W Florida Ave, Hemet, CA 92545",0x80db6f8fe4ea1b1b:0x7091181baadc4f1,"Hip counter-serve pizzeria dishing up crispy, thin-crust pies made with creative toppings & sauces.",33.747817999999995,-117.00619,"['Pizza restaurant', 'Family restaurant', 'Pizza Takeout']",4.0,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db6f8fe4ea1b1b:0x7091181baadc4f1?authuser=-1&hl=en&gl=us,CA,36
New York Pizza,"New York Pizza, 7829 Sunrise Blvd, Citrus Heights, CA 95610",0x809adfe7852fbf27:0x4c7c2790052027a5,,38.7085213,-121.2724774,"['Pizza restaurant', 'Italian restaurant', 'Delivery Restaurant']",3.2,88,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809adfe7852fbf27:0x4c7c2790052027a5?authuser=-1&hl=en&gl=us,CA,37
MR DRAGON NOODLE HOUSE (一条龙私房面馆）,"California, Rosemead, Valley Blvd, MR DRAGON NOODLE HOUSE (一条龙私房面馆）邮政编码: 91770",0x80c2db7330011a93:0xccdaa847c2f953d8,,34.0802659,-118.0829133,['Wok restaurant'],4.5,86,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2db7330011a93:0xccdaa847c2f953d8?authuser=-1&hl=en&gl=us,CA,38
NEW YORK PIZZERIA,"NEW YORK PIZZERIA, 27001 Moulton Pkwy #105, Aliso Viejo, CA 92656",0x80dcef24e4bd2b87:0x94f9d39919f2381a,"Relaxed counter-serve eatery offering NYC-style pies & familiar Italian dishes, plus beer & wine.",33.570651999999995,-117.7006072,['Italian restaurant'],4.5,85,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcef24e4bd2b87:0x94f9d39919f2381a?authuser=-1&hl=en&gl=us,CA,39
California Pita & Grill Beverly Hills,"California Pita & Grill Beverly Hills, 242 S Beverly Dr, Beverly Hills, CA 90212",0x80c2bbfb8a39e281:0x204e585f03c26eb8,,34.0634298,-118.3988973,"['Mediterranean restaurant', 'Greek restaurant', 'Vegetarian restaurant']",4.3,78,CA,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2bbfb8a39e281:0x204e585f03c26eb8?authuser=-1&hl=en&gl=us,CA,40
